Experiment,Citation,Depth,Sample date,Time (years),ambient CO2...6,increased CO2...7,ambient CO2...8,increased CO2...9,Description of data source,Value treatment
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2003,6,3512.41,2960.9300000000003,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2004,7,3320.87,3240.0699999999997,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2005,8,3564.09,3375.91,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2006,9,4115,3739.11,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2007,10,3982.34,3737.1000000000004,3,3,pers. comm.,NA
FACTS II - Aspen/Mapel (+O3),Talhelm et al. 2009,0-10 cm,2008,11,4093.1800000000003,3722.54,3,3,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GiFACE,Lenhart 2008,0-7.5 cm,may 1998,0,3420.0000000000005,3528,3,3,fig. 3.13,assumed bulk density: 1.0 g/cm3
GiFACE,Lenhart 2008,0-7.5 cm,june 2007,9.083333333333334,3149.999999999999,3096,3,3,fig. 3.13,assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hohenheim,Marhan et al. 2010,0-10 cm,mar. 2004,2,1725,1767,5,5,tab. 2,NA
Hohenheim,Marhan et al. 2010,0-10 cm,oct. 2004,2.5,1707,1641,5,5,tab. 2,NA
Hohenheim,Marhan et al. 2010,0-10 cm,mar. 2005,3,1805,1744,5,5,tab. 2,NA
Hohenheim,Marhan et al. 2010,0-10 cm,oct. 2005,3.5,1567,1588,5,5,tab. 2,NA
Hohenheim,Marhan et al. 2010,0-10 cm,mar. 2006,4,1680,1717,5,5,tab. 2,NA
Hohenheim,Marhan et al. 2010,0-10 cm,oct. 2006,4.5,1721,1763,5,5,tab. 2,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 cm,jan. 1992,0,2646,2646,10,10,"fig. 1, pers. comm.",NA
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 cm,may 1993,1.41,2645.6692913385823,2354.3307086614172,10,10,"fig. 1, pers. comm.",NA
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 cm,may 1994,2.41,2251.968503937008,2338.582677165354,10,10,"fig. 1, pers. comm.",NA
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 cm,may 1995,3.41,2314.9606299212596,2314.9606299212596,10,10,"fig. 1, pers. comm.",NA
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 cm,may 1996,4.41,2497,2486,10,10,"fig. 1, pers. comm.",NA
Jasper Ridge - sandstone,Hungate et al. 1997,0-15 cm,may 1997,5.41,2612,2750,10,10,"fig. 1, pers. comm.",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Control,Hungate et al. unpublished,0-15 cm,2000,2,2383.7435291457664,2344.244879192732,6,6,pers. comm.,NA
JRGCE - Control,Hungate et al. unpublished,0-15 cm,2006,8,2427.8607817375996,2173.412490201781,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Burn,Hungate et al. unpublished,0-15 cm,2000,2,2295.9631169370923,2496.8210846782827,4,4,pers. comm.,NA
JRGCE - Burn,Hungate et al. unpublished,0-15 cm,2006,8,2544.482915358183,2268.8305995277133,4,4,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - N,Hungate et al. unpublished,0-15 cm,2000,2,2247.6928853253453,2380.9193864309605,6,6,pers. comm.,NA
JRGCE - N,Hungate et al. unpublished,0-15 cm,2006,8,2551.5509234564006,2328.908668362559,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - N x Burn,Hungate et al. unpublished,0-15 cm,2000,2,2359.1593679525786,2424.661017972471,4,4,pers. comm.,NA
JRGCE - N x Burn,Hungate et al. unpublished,0-15 cm,2006,8,2528.579897137194,2226.4225509384105,4,4,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Water,Hungate et al. unpublished,0-15 cm,2000,2,2292.479382830013,2268.0494311326106,6,6,pers. comm.,NA
JRGCE - Water,Hungate et al. unpublished,0-15 cm,2006,8,2311.2386481170165,2085.062388974067,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Water x Burn,Hungate et al. unpublished,0-15 cm,2000,2,2393.8820185477935,2563.045791650876,4,4,pers. comm.,NA
JRGCE - Water x Burn,Hungate et al. unpublished,0-15 cm,2006,8,2396.0547452956225,2300.636635969691,4,4,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Water x N,Hungate et al. unpublished,0-15 cm,2000,2,2192.7258026962663,2263.7267946110865,6,6,pers. comm.,NA
JRGCE - Water x N,Hungate et al. unpublished,0-15 cm,2006,8,2625.765008487681,2441.9967979340345,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Water x N x Burn,Hungate et al. unpublished,0-15 cm,2000,2,2251.4097199556772,2568.693392366063,4,4,pers. comm.,NA
JRGCE - Water x N x Burn,Hungate et al. unpublished,0-15 cm,2006,8,2231.723557012073,2385.452733148297,4,4,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Heat,Hungate et al. unpublished,0-15 cm,2000,2,2298.123837344219,2294.907430444076,6,6,pers. comm.,NA
JRGCE - Heat,Hungate et al. unpublished,0-15 cm,2006,8,2385.452733148297,2438.4627938849253,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Heat x N,Hungate et al. unpublished,0-15 cm,2000,2,2287.779312935299,2454.2947173100806,6,6,pers. comm.,NA
JRGCE - Heat x N,Hungate et al. unpublished,0-15 cm,2006,8,2282.9666157241477,2449.0648060322515,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Heat x Water,Hungate et al. unpublished,0-15 cm,2000,2,2326.7955999774276,2309.9136658406674,6,6,pers. comm.,NA
JRGCE - Heat x Water,Hungate et al. unpublished,0-15 cm,2006,8,2074.460376826741,2413.7247655411657,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
JRGCE - Heat x Water x N,Hungate et al. unpublished,0-15 cm,2000,2,2393.2079743255067,2453.4790931982957,6,6,pers. comm.,NA
JRGCE - Heat x Water x N,Hungate et al. unpublished,0-15 cm,2006,8,2109.800417317827,2406.6567574429478,6,6,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Merritt Island,Hungate unpublished,0-10 cm,dec. 1996,0.6242299794661191,1209.3201328915666,1335.0191160903612,8,8,pers. comm.,NA
Merritt Island,Hungate unpublished,0-10 cm,jun. 1998,2.088980150581793,1130.5014644680898,1220.0629769199952,8,8,pers. comm.,NA
Merritt Island,Hungate unpublished,0-10 cm,jul. 1998,2.1711156741957565,1263.559598391772,1291.7154469702891,8,8,pers. comm.,NA
Merritt Island,Hungate unpublished,0-10 cm,aug. 1998,2.3107460643394937,1356.1098025794693,1280.81924477758,8,8,pers. comm.,NA
Merritt Island,Carney et al. 2007,0-10 cm,nov. 1998,2.546201232032854,1733.8959407711754,1567.264949586369,8,8,"fig. 1, pers. comm.",NA
Merritt Island,Carney et al. 2007,0-10 cm,sept. 1999,3.356605065023956,1781.7420849860116,1712.4928179645362,8,8,"fig. 1, pers. comm.",NA
Merritt Island,Carney et al. 2007,0-10 cm,mar. 2001,4.870636550308008,2191.1727411131023,1941.4597531126092,8,8,"fig. 1, pers. comm.",NA
Merritt Island,Carney et al. 2007,0-10 cm,may 2002,5.9986310746064335,2099.4689245347695,1740.7057640517298,8,8,"fig. 1, pers. comm.",NA
Merritt Island,Langley et al. 2009,0-10 cm,may 2002,6,1999,1628,8,8,pers. comm.,NA
Merritt Island,McKinley et al. unpublished,0-10 cm,may 2007,11,1512,1411.2,8,8,pers. comm.,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NewZealandFACE,Ross et al. 2004,0-5 cm,may/oct. 1997,0,2685,2465,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,0-5 cm,may/oct. 1998,1,2650,2490.0000000000005,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,0-5 cm,may/oct. 1999,2,2655,2525,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,0-5 cm,may/oct. 2000,3,2675,2565,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,0-5 cm,may/oct. 2001,4,2515,2444.9999999999995,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2004,0-5 cm,may/oct. 2002,5,2585,2490.0000000000005,3,3,table 1,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,0-5 cm,may/oct. 2003,6,2518.7499999999995,2509.821428571429,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,0-5 cm,may/oct. 2004,7,2599.1071428571427,2534.3749999999995,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,0-5 cm,may/oct. 2005,8,2659.375,2659.375,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,0-5 cm,may/oct. 2006,9,2657.142857142857,2721.875,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NewZealandFACE,Ross et al. 2013,0-5 cm,may/oct. 2007,10,2721.875,2822.3214285714284,3,3,fig. 3,assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand Greenhouse,Ross et al. 1995,0-5 cm,-,0,2112.2448979591836,2122.448979591837,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,0-5 cm,-,0.25,2122.448979591837,2142.857142857143,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,0-5 cm,-,0.5,1969.3877551020405,1979.5918367346935,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand Greenhouse,Ross et al. 1995,0-5 cm,-,0.75,1969.3877551020405,2000,1,1,fig. 2,assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand OTC - P. radiata,Ross et al. 2006,0-10 cm,apr.1994,0,100,100,2,2,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand OTC - P. radiata,Ross et al. 2006,0-10 cm,mar. 2000,6,411.6883116883117,529.8701298701299,2,2,fig. 2,assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
New Zealand OTC - N. fusca,Ross et al. 2006,0-10 cm,apr.1994,0,100,100,3,3,fig. 2,assumed bulk density: 1.0 g/cm3
New Zealand OTC - N. fusca,Ross et al. 2006,0-10 cm,mar. 2000,6,2402.7697634160418,3401.6156953260243,3,3,fig. 2,assumed bulk density: 1.0 g/cm3
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ORNL FACE,Jastrow et al. 2005,0-15 cm,oct. 1997,0,2671.7277486910994,2791.0994764397906,3,2,fig. 1b,NA
ORNL FACE,Jastrow et al. 2005,0-15 cm,nov. 2000,2.42,2784.8167539267015,2866.4921465968587,3,2,fig. 1b,NA
ORNL FACE,Jastrow et al. 2005,0-15 cm,oct. 2002,4.33,2730.366492146597,2990.890052356021,3,2,fig. 1b,NA
ORNL FACE,Iversen et al. 2012,0-15 cm,june 2009,11,3370,3850,3,2,tab. 1,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placerville - low N,Johnson et al. 2006,0-30 cm,mar. 1991,0,8400,8000,3,3,fig. 4,NA
Placerville - low N,Johnson et al. 2006,0-30 cm,mar. 1993,1.75,7600,7600,3,3,fig. 4,NA
Placerville - low N,Johnson et al. 2006,0-30 cm,sept. 1996,5.5,7400,7600,3,3,fig. 4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placerville - medium N,Johnson et al. 2006,0-30 cm,mar. 1991,0,7800,7900,3,3,fig. 4,NA
Placerville - medium N,Johnson et al. 2006,0-30 cm,mar. 1993,1.75,7700,7800,3,3,fig. 4,NA
Placerville - medium N,Johnson et al. 2006,0-30 cm,sept. 1996,5.5,7400,8300,3,3,fig. 4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Placerville - high N,Johnson et al. 2006,0-30 cm,mar. 1991,0,8100,7500,3,3,fig. 4,NA
Placerville - high N,Johnson et al. 2006,0-30 cm,mar. 1993,1.75,7500,8500,3,3,fig. 4,NA
Placerville - high N,Johnson et al. 2006,0-30 cm,sept. 1996,5.5,7400,8100,3,3,fig. 4,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POPFACE - alba,Hoosbeek et al. 2009,0-10 cm,oct. 1999,0,1319.7666666666667,1128.0333333333335,3,3,"fig. 5, pers. comm.",NA
POPFACE - alba,Hoosbeek et al. 2009,0-10 cm,oct. 2000,1,1364.5183333333332,1195.0583333333334,3,3,"fig. 5, pers. comm.",NA
POPFACE - alba,Hoosbeek et al. 2009,0-10 cm,oct. 2001,2,1524.40835,1295.0502333333334,3,3,"fig. 5, pers. comm.",NA
POPFACE - alba,Hoosbeek et al. 2009,0-10 cm,oct. 2003,4,1629.3773567039018,1377.4895754427387,3,3,"fig. 5, pers. comm.",NA
POPFACE - alba,Hoosbeek et al. 2009,0-10 cm,oct. 2004,5,1646.9291999999998,1479.6399333333331,3,3,"fig. 5, pers. comm.",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POPFACE - euramericana,Hoosbeek et al. 2009,0-10 cm,oct. 1999,0,1251.8,1165.2333333333333,3,3,"fig. 5, pers. comm.",NA
POPFACE - euramericana,Hoosbeek et al. 2009,0-10 cm,oct. 2000,1,1429.215,1213.325,3,3,"fig. 5, pers. comm.",NA
POPFACE - euramericana,Hoosbeek et al. 2009,0-10 cm,oct. 2001,2,1405.2082833333334,1084.26115,3,3,"fig. 5, pers. comm.",NA
POPFACE - euramericana,Hoosbeek et al. 2009,0-10 cm,oct. 2003,4,1634.56451378944,1431.2596072398974,3,3,"fig. 5, pers. comm.",NA
POPFACE - euramericana,Hoosbeek et al. 2009,0-10 cm,oct. 2004,5,1686.1117777777774,1370.2392666666667,3,3,"fig. 5, pers. comm.",NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
